N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
10,2000,2000,0.2484610736370086,0.0930968623405517,0.1903461188077926,0.1093371584195075,0.0667644023895263,0.0497984625131657,5.226573276519775,0.0825262424358984,0.0373502580163501,0.0029186248779296,0.0749944339634891,0.03476916096407,0.0034060478210449
20,2000,2000,0.1062130063772201,0.0443816324979223,0.1374437406659126,0.0721390621419758,0.0325218915939331,0.0325812359890763,5.294514179229736,0.0405283087984334,0.0223466072378576,0.0034629821777343,0.0363061308300575,0.0206439200829917,0.0035283088684082
30,2000,2000,0.0537944763898849,0.0121381431097163,0.0569949738681316,0.0058315811752054,0.0292764067649841,0.0070513341402266,5.217248582839966,0.0265046597242905,0.0055728798324674,0.0020203590393066,0.0233684867987222,0.0046663229063163,0.0030427932739257
40,2000,2000,0.0676992740482091,0.0311240828685452,0.068263928592205,0.0243271067686299,0.0239499747753143,0.018152695386488,5.275349378585815,0.0251408233893247,0.0100440767849936,0.0020840644836425,0.0218365625912849,0.0084864208763803,0.003429365158081
50,2000,2000,0.0357031954452395,0.0179324207609997,0.034456343203783,0.0380440056944208,0.0165679693222045,0.0168741034281394,5.207916688919068,0.0197347015913912,0.0090194325658269,0.0032564163208007,0.0174878270923817,0.0084204975577605,0.0039150238037109
60,2000,2000,0.0557120949029922,0.0095734434860445,0.0328169714659452,0.0353542667630933,0.0228917479515075,0.0101171142788387,5.306514263153076,0.0238603161277673,0.0060465389000106,0.0022955894470214,0.0212752469515753,0.0057307202062322,0.0033603191375732
70,2000,2000,0.0245089946314692,0.008998873021537,0.0467689417302608,0.0272993020837033,0.0069159269332885,0.008268203423979,5.1993426322937015,0.0189660855535185,0.0052355734926756,0.0024229049682617,0.016604118379065,0.0048878322458656,0.0033157348632812
80,2000,2000,0.028449073061347,0.007022328098124,0.0253622028045356,0.0203681807315033,0.0092438220977783,0.0097267175835814,5.26777024269104,0.0178214990516746,0.0044237222694691,0.0022351264953613,0.0154349299485866,0.0041159534093359,0.0033028602600097
90,2000,2000,0.0244469795376062,0.005189790391696,0.0313311135396361,0.0233486554687555,0.0106581926345825,0.0107488907959552,5.26034984588623,0.018642707734327,0.0047304424296053,0.0022817134857177,0.0164990974118823,0.0047137951773347,0.0034132480621337
100,2000,2000,0.0202219687402248,0.0051153852081421,0.0165831520222127,0.019876521829035,0.004311728477478,0.0048793988226664,5.2404285907745365,0.0143110749882335,0.0029442455824978,0.0022590637207031,0.0124916116787372,0.0028290418791747,0.003472900390625
110,2000,2000,0.0185502914711833,0.0068832309930465,0.0196542501915246,0.0160525921751732,0.0060052156448364,0.0061167939882145,5.283047533035278,0.0121965487001896,0.0025930812758339,0.0033054828643798,0.0103692195804129,0.0023276872843606,0.0044590950012207
120,2000,2000,0.0200919274240732,0.0058604317860293,0.028808413632214,0.0228144504735254,0.0130261123180389,0.0058058862909574,5.275880002975464,0.0177763355847396,0.0042160198741024,0.0033241748809814,0.0151337255298881,0.0035593013370859,0.0311745643615722
130,2000,2000,0.0163852183148264,0.0041980697853714,0.0100135542452335,0.0170595016958363,0.0008012473583221,0.0008604709961691,5.274203586578369,0.0110072125947994,0.0014603844898126,0.0024851322174072,0.0093597346302283,0.0012612672705596,0.0033793449401855
140,2000,2000,0.0128528075292706,0.0028090351967449,0.0103504044935107,0.0109727977318563,0.0002542316913604,0.0004456796160127,5.230101966857911,0.0117864954416663,0.0029328620400381,0.0021144866943359,0.0099569078391681,0.0025939437788698,0.0031586647033691
150,2000,2000,0.0138053239323198,0.0038489979280016,0.0116707234643399,0.0068795700456651,0.004068386554718,0.0036323709560822,5.305834436416626,0.011536819220239969,0.0012986905075237749,0.002446556091308594,0.009745525073978786,0.0011188693356390565,0.0032968521118164062
